Content Name,File Name,Summary,Learning Outcomes,"##SUBSTITUTE(D2,CHAR(10),""."")UTE(D2,CHAR(10),""."")##"
Maths GCSE Resits - Polygons and their Angles,Polygons and their Angles.zip,"Maths GCSE revision covering the angles, properties and different types of polygons.","Name the different types of polygons
State the properties of polygons
Apply knowledge of the angles of polygons to questions
",Name the different types of polygons.State the properties of polygons.Apply knowledge of the angles of polygons to questions.
Public Services Level 2 -Positive and negative impacts of Government policy on individuals,Positive And Negative Aspects Of Government Policy.zip,"Learn more about the positive and negative impacts of government policy on individuals.
This course is ideal for intermediate learners. 
","The government
Education
Minimum wage
Social welfare",The government.Education.Minimum wage.Social welfare
Maths Level 1 - Positive and Negative Numbers,Positive and Negative Numbers.zip,"Learn about positive and negative numbers, understanding them in practical contexts and using a number line for addition and subtraction. This course is ideal for beginners. ","Understand positive and negative numbers in practical contexts
Use a number line for addition and subtraction ",Understand positive and negative numbers in practical contexts.Use a number line for addition and subtraction 
Numeracy Entry Level 3 - Positive and Negative numbers,Positive and negative numbers.zip,"Learn about positive and negative numbers, identify practical situations in which negative numbers are used, measure temperatures above and below zero and compare positive and negative numbers. This course is ideal for intermediate learners. ","Identify practical situations in which negative numbers are used
Measure temperatures above and below zero
Compare positive and negative numbers",Identify practical situations in which negative numbers are used.Measure temperatures above and below zero.Compare positive and negative numbers
Spelling Punctuation and Grammar Level 2 - Sentence types - Affirmative and negative sentences,Positive and negative sentences.zip,"Learn about sentence types, specifically affirmative and negative sentences. This course is ideal for intermediate learners.","Identifying affirmative (positive) and negative sentences
No and not - contractions
Negative transformations
Subject-verb agreement
Indefinite pronouns
Double negatives",Identifying affirmative (positive) and negative sentences.No and not - contractions.Negative transformations.Subject-verb agreement.Indefinite pronouns.Double negatives
Positive Risk Taking,Positive Risk Taking.zip,Learn about what positive risk taking in health and care. This course is ideal for intermediate learners.,"Rights and responsibilities
What a risk is
The importance of risk
Positive risk taking
Positive risk assessments
","Rights and responsibilities.What a risk is.The importance of risk.Positive risk taking.Positive risk assessments."
Numeracy Level 1 - Powers and roots,Powers and roots.zip,Learn about powers and roots and understand what they are. This course is ideal for beginners. ,"Understand what powers are
Write powers in index and expanded form
Calculate the square and cube roots of numbers
Use powers of 10 and power properties
Understand what roots are

",Understand what powers are.Write powers in index and expanded form.Calculate the square and cube roots of numbers.Use powers of 10 and power properties.Understand what roots are..
Literacy Entry Level 3 - Prefixes and suffixes,Prefixes and Suffixes.zip,"Learn about prefixes and suffixes and what they are, examples of them and how to add them to a word. This course is ideal for intermediate learners. ","Understand what a prefix is
Know a number of different examples of prefixes
Understand how to add a prefix to a word 
Understand what a suffix is
Know a number of different examples of suffixes
Understand how to add a suffix to a word",Understand what a prefix is.Know a number of different examples of prefixes.Understand how to add a prefix to a word .Understand what a suffix is.Know a number of different examples of suffixes.Understand how to add a suffix to a word
Spelling Punctuation and Grammar Level 2 - Prefixes,Prefixes.zip,Learn about prefixes and what they are. This course is ideal for intermediate learners.,"Definition of prefix and suffix
Examples of prefixes
Your understanding of prefixes
Common meanings of prefixes",Definition of prefix and suffix.Examples of prefixes.Your understanding of prefixes.Common meanings of prefixes
Public Services Level 3 - Preparing for a debate in the House of Commons 1,Preparing for a debate in the House of Commons (Part 1).zip,Learn about preparing for a debate in the House of Commons (part 1). This course is ideal for intermediate learners.,"Identify key definitions related to debating
Complete a checklist in preparation for debate
Outline the process of a debate in the House of Commons
Formulate arguments and key points in preparation for a debate","Identify key definitions related to debating.Complete a checklist in preparation for debate.Outline the process of a debate in the House of Commons.Formulate arguments and key points in preparation for a debate"
Public Services Level 3 - Preparing for a debate in the House of Commons 2,Preparing for a debate in the House of Commons (Part 2).zip,Learn about preparing for a debate in the House of Commons (part 2). This course is ideal for intermediate learners.,"Plan a debate on the age of criminal responsibility
Identify the main reasons for supporting teh increase in the age of criminal responsibility
Identify the main reasons for opposing the increase in the age of criminal responsibility",Plan a debate on the age of criminal responsibility.Identify the main reasons for supporting teh increase in the age of criminal responsibility.Identify the main reasons for opposing the increase in the age of criminal responsibility
"Literacy Entry Level 3 - Prepositions, conjunctions and articles ","Prepositions, Conjunctions and Articles.zip","Learn about prepositions, conjunctions and articles, what prepositions and conjunctions are, how prepositions are used and when to use a conjunction and a number of different articles. This course is ideal for intermediate learners. ","Know what a preposition is
Understand how prepositions are used
Know what a conjunction is
Understand when to use a conjunction
Know a number of different articles","Know what a preposition is.Understand how prepositions are used.Know what a conjunction is.Understand when to use a conjunction.Know a number of different articles"
English Level 2 - Prepositions,Prepositions.zip,"Learn about prepositions, what it is and examples. This course is ideal for intermediate learners.","What a preposition is 
Preposition of time
Prepositions of place
Preposition positions ",What a preposition is .Preposition of time.Prepositions of place.Preposition positions 
Maths Level 1 - Probability,Probability.zip,"Learn about probability, specifically calculating one stage and two stage probability events. This course is ideal for beginners. ",Calculate one stage and two stage probability events,Calculate one stage and two stage probability events
Numeracy Entry Level 3 - Probability,Probability.zip,"Learn about probability, different ways of putting a number to chance events, how to calculate the probability of events and order events by probability. This course is ideal for intermediate learners. ","Recognise different ways of putting a number to chance events
Be able to calculate the probability of events
Be able to order events by probability",Recognise different ways of putting a number to chance events.Be able to calculate the probability of events.Be able to order events by probability
Maths GCSE Resits - Probability,Probability.zip,"Maths GCSE revision covering probability basics, space diagrams, and/or rules, expected and relative frequency.","Understand the basics of probability
Use sample space diagrams, the and/or rules, expected frequency and relative frequency knowledge to resolve questions","Understand the basics of probability.Use sample space diagrams, the and/or rules, expected frequency and relative frequency knowledge to resolve questions"
Public Services Level 2 - Promoting good citizenship,Promoting good citizenship.zip,Learn more about the promotion of good citizenship in the public services sector. This course is ideal for intermediate learners. ,"How public services promote good citizenship
How when working in public services you will promote good citizenship 
","How public services promote good citizenship.How when working in public services you will promote good citizenship ."
Literacy Entry Level 3 - Proofreading with SPAG,Proofreading with SPAG.zip,"Learn about proofreading with SPAG, what is meant by this, how to use SPAG as part of your proofreading and how to write your own proofreading checklist. This course is ideal for intermediate learners. ","Understand what is meant by proofreading
Understand what is meant by SPAG
Know how to use SPAG as part of your proofreading
Know how to write your own proofreading checklist","Understand what is meant by proofreading.Understand what is meant by SPAG.Know how to use SPAG as part of your proofreading.Know how to write your own proofreading checklist"
Literacy Entry Level 3 - Proverbs and idioms,Proverbs and idioms.zip,"Learn about proverbs and idioms, what they are, how they work in English and the main differences between proverb and idioms. This course is ideal for intermediate learners. ","Know what an idiom is
Know what a proverb is
Understand how proverbs and idioms work in English
Know the main differences between proverb and idioms","Know what an idiom is.Know what a proverb is.Understand how proverbs and idioms work in English.Know the main differences between proverb and idioms"
Public Services Level 3 - Public inquiries and their effect on Government policy,Public Inquiries And Their Effect On Government Policy.zip,Learn about public inquiries and their effect on government policy. This course is ideal for intermediate learners.,"Define what is meant by a public enquiry
Outline the structure of a public enquiry
Discuss the key findings of a public enquiry
Evaluate the effectiveness of public enquiries",Define what is meant by a public enquiry.Outline the structure of a public enquiry.Discuss the key findings of a public enquiry.Evaluate the effectiveness of public enquiries
Public Services Level 2 -Public Services and legislation,Public Services and legislation.zip,Learn about the legislation surrounding the public sector and equality duty. This course is ideal for intermediate learners. ,"Public sector equality duty exceptions
Types of legislation under the equality duty
Policy and decision making processes",Public sector equality duty exceptions.Types of legislation under the equality duty.Policy and decision making processes
Public Services Level 2 -Public Services affected by finances and social inequality,Public Services affected by finances and social inequality.zip,Learn more about how public services are affected by finances and social inequity. This course is ideal for intermediate learners. ,"Government finance
Fire service
Police
Social inequality",Government finance.Fire service.Police.Social inequality
Public Services Level 2 -Public services and equality,Public services and equality.zip,Learn about equality and how it affects people and public services. This course is ideal for intermediate learners. ,"Equality
What is equality
How equality affects us and the public services",Equality.What is equality.How equality affects us and the public services
English Level 2 - Punctuation,Punctuation.zip,Learn about punctuation and all the different punctuation marks. This course is ideal for intermediate learners. ,"Capital letters
Full stops
Commas
Apostrophes
Question marks
Exclamation marks
Colons
Semi-colons
Quotation marks
Hyphens 
Dashes 
Parentheses 
Brackets","Capital letters.Full stops.Commas.Apostrophes.Question marks.Exclamation marks.Colons.Semi-colons.Quotation marks.Hyphens .Dashes .Parentheses .Brackets"
Literacy Entry Level 3 - Punctuation,Puntuation.zip,"Learn about punctuation, how to use a full stop, question marks, exclamation marks and the different ways of using commas and apostrophes. This course is ideal for intermediate learners. ","Know how to use a full stop
Know how to use question marks
Know how to use exclamation marks
Understand the different ways of using commas
Understand the different ways of using apostrophes",Know how to use a full stop.Know how to use question marks.Know how to use exclamation marks.Understand the different ways of using commas.Understand the different ways of using apostrophes
English Level 2 - Question Marks and Exclamation Marks,Question Marks and Exclamation Marks.zip,Learn about question marks and exclamation marks and when they are used. This course is ideal for intermediate learners. ,"Ending sentences 
Question marks
Exclamation marks",Ending sentences .Question marks.Exclamation marks
English Level 2 - Quotation Marks,Quotation Marks.zip,Learn about quotation marks and why and when you should use them. This course is ideal for intermediate learners. ,"Quotation marks
Why you should use quotation marks
Using single and double quotation marks
Use of quotation marks",Quotation marks.Why you should use quotation marks.Using single and double quotation marks.Use of quotation marks
Maths Level 1 - Ratio,Ratio.zip,"Learn about ratio, specifically writing ratios in their simplest form and solving simple problems involving ratio where one number is a multiple of the other. This course is ideal for beginners. ","Write ratios in their simplest form
Solve simple problems involving ratio where one number is a multiple of the other",Write ratios in their simplest form.Solve simple problems involving ratio where one number is a multiple of the other
Numeracy Entry Level 3 - Ratios & Proportion,Ratios and proportion.zip,"Learn about ratios and proportion, the meaning of ratio and proportion and how to solve simple proportion problems. This course is ideal for intermediate learners. ","Understand the meaning of ratio and proportion
Be able to solve simple proportion problems","Understand the meaning of ratio and proportion.Be able to solve simple proportion problems"
Maths GCSE Resits - Ratios,Ratios.zip,"Maths GCSE revision of ratio basics, converting ratios to their simplest form, scaling up and proportional division.","Understand the basics of ratios
Be able to convert ratios to their simplest form and scale up ratios
Apply proportional division to solve exam type questions",Understand the basics of ratios.Be able to convert ratios to their simplest form and scale up ratios.Apply proportional division to solve exam type questions
Public Services Level 3 - Representation from outside Government,Representation from outside Government.zip,Learn about representation from outside government. This course is ideal for intermediate learners.,"Know how to contact your local Member of Parliament (MP)
State the different ways a petition can be presented
Identify different pressure groups",Know how to contact your local Member of Parliament (MP).State the different ways a petition can be presented.Identify different pressure groups
Numeracy Level 1 - Representing data,Representing Data.zip,"Learn about representing data, undertand what data is and why it is important to represent it. This course is ideal for beginners. ","Understand what data is and why it is important to represent it
Distinguish between the most common visual representations of data
Identify what a bar chart, a pie chart and a line graph are
Read charts and graphs accurately","Understand what data is and why it is important to represent it.Distinguish between the most common visual representations of data.Identify what a bar chart, a pie chart and a line graph are.Read charts and graphs accurately"
Responding to Experiences,Responding to Experiences.zip,"Learn about stress, how it affects us and how we can manage it effectively. This course is suitable for everyone.","Understand that how you think, feel and behave can be influenced by how full your stress bucket is
Understand the physical responses to stress
Recognise the signs of stress
Learn ways to manage responses to stress
Learn how to develop a resilient mindset","Understand that how you think, feel and behave can be influenced by how full your stress bucket is.Understand the physical responses to stress.Recognise the signs of stress.Learn ways to manage responses to stress.Learn how to develop a resilient mindset"
Public Services Level 2 -Responsibilities of citizens,Responsibilities of citizens.zip,Learn more about the responsibilities of citizens in the public services sector. This course is ideal for intermediate learners. ,"They types of responsibilities citizens have
Responsibilities that public service users have
Identifying the different types of responsibilities that exist
","They types of responsibilities citizens have.Responsibilities that public service users have.Identifying the different types of responsibilities that exist."
Public Services Level 2 -Responsibilities of public services employees,Responsibility Of Public Services Employees.zip,Learn more about the different types of responsibilities Public Service employees have and the importance of these. This course is ideal for intermediate learners. ,"Identify different Public Service responsibilities
The importance of the responsibilities public service employees have
",Identify different Public Service responsibilities.The importance of the responsibilities public service employees have.
Numeracy Level 1 - Revision session 1,Revision session 1.zip,A revision session on Numeracy Level 1 (part 1). This course is ideal for beginners. ,"You can use this revision in combination with revision session 2 as preperation for summative assessment, or as a general knowledge check for the Numeracy part of your course
Make notes of any topics covered that you are unsure of as you go along, as you may wish to revisitc these session topics ","You can use this revision in combination with revision session 2 as preperation for summative assessment, or as a general knowledge check for the Numeracy part of your course.Make notes of any topics covered that you are unsure of as you go along, as you may wish to revisitc these session topics "
Public Services Level 3 - Revision Session 1,Revision Session 1.zip,Revision session covering different parts of this Public Services Level 3 course. This course is ideal for intermediate learners.,"Revision session covering: 
The different levels of government and their responsibilities
Responsibilities of different government departments and other levels of government for specific public services
The accountability of the public services",Revision session covering: .The different levels of government and their responsibilities.Responsibilities of different government departments and other levels of government for specific public services.The accountability of the public services
Numeracy Level 1 - Revision Session 2,Revision Session 2.zip,A revision session on Numeracy Level 1 (part 1). This course is ideal for beginners. ,"You can use this revision in combination with revision session 1 as preperation for summative assessment, or as a general knowledge check for the Numeracy part of your course
Make notes of any topics covered that you are unsure of as you go along, as you may wish to revisitc these session topics ","You can use this revision in combination with revision session 1 as preperation for summative assessment, or as a general knowledge check for the Numeracy part of your course.Make notes of any topics covered that you are unsure of as you go along, as you may wish to revisitc these session topics "
Public Services Level 3 - Revision Session 2,Revision Session 2.zip,Revision session covering different parts of this Public Services Level 3 course. This course is ideal for intermediate learners.,"Revision session covering: 
Democratic election processes
Election campaign processes
Voting systems",Revision session covering: .Democratic election processes.Election campaign processes.Voting systems
Spelling Punctuation and Grammar Level 2 - Revision session,Revision session.zip,"A revision session on the topics discussed so far on this Spelling, Punctuation and Grammar Level 2 course. This course is ideal for intermediate learners.","Verbs, nouns and adjectives
Sentences and articles
Active and passive voices
Possessive pronouns
Clauses and phrases
Connectives and conjunctions
","Verbs, nouns and adjectives.Sentences and articles.Active and passive voices.Possessive pronouns.Clauses and phrases.Connectives and conjunctions."
Public Services Level 2 - Revision session,Revision.zip,This is a revision session covering a variety of topics concerning public services. This course is ideal for intermediate learners. ,This session will review everything that you have learnt over the previous sessions in public services,This session will review everything that you have learnt over the previous sessions in public services
Public Services Level 2 -Rights within the criminal justice system,Rights Within The Criminal Justice System.zip,Learn more about rights within the criminal justice system. This course is ideal for intermediate learners. ,"Legal representation
Legal aid
A fair trial
","Legal representation.Legal aid.A fair trial."
Public Services Level 3 - The role of Government committees in creating policy,The Role Of Government Committees In Creating Policy.zip,Learn about the role of government committees in creating policy. This course is ideal for intermediate learners.,"Identify the different committees that exist within the House of Commons and the House of Lords
Outline their importance in the development of government policies","Identify the different committees that exist within the House of Commons and the House of Lords.Outline their importance in the development of government policies"
Roof Components,Roof Components.zip,Learn about understanding roof construction.,"•	Climate and considerations
•	Stability through structure
•	The anatomy of a roof
•	Types of roofing
•	Roofing coverings
•	Roofing components
","•	Climate and considerations.•	Stability through structure.•	The anatomy of a roof.•	Types of roofing.•	Roofing coverings.•	Roofing components."
Roof Construction: Flat Roofs – Part 1,Roof Construction - Flat Roofs Part 1.zip,Learn about flat roof structures and construction.,"•	Flat roof main elements
•	Strength and stability
•	Typical construction
•	Problems with flat roofs
","•	Flat roof main elements.•	Strength and stability.•	Typical construction.•	Problems with flat roofs."
Roof Construction: Flat Roofs – Part 2,Roof Construction - Flat Roofs Part 2.zip,Learn about flat roof structures and construction.,"•	Flat roof main elements
•	Strength and stability
•	Typical construction
•	Problems with flat roofs
","•	Flat roof main elements.•	Strength and stability.•	Typical construction.•	Problems with flat roofs."
Maths Level 1 - Rounding and Estimating,Rounding and Estimating.zip,"Learn about rounding and estimating, rounding numbers to the nearest 10, 100 or 1000 and using rounding to estimate basic calculations. This course is ideal for beginners. ","Round numbers to the nearest 10,100 or 1000 
Use rounding to estimate basic calculations","Round numbers to the nearest 10,100 or 1000 .Use rounding to estimate basic calculations"
Numeracy Entry Level 3 - Rounding and Estimating,Rounding and Estimating.zip,Learn about rounding and estimating and unerstanding when it is appropriate to use rounding and estimating and when an exact answer is needed. This course is ideal for intermediate learners. ,"Understand when it is appropriate to use rounding and estimating and when an exact answer is needed
Be able to round to the nearest 10 or 100
Be able to round and estimate in everyday contexts","Understand when it is appropriate to use rounding and estimating and when an exact answer is needed.Be able to round to the nearest 10 or 100.Be able to round and estimate in everyday contexts"
Maths GCSE Resits - Rounding Off Numbers and Estimations,Rounding Off Numbers and Estimations.zip,"Maths GCSE revision of rounding off numbers, rounding to significant numbers, estimating calculations and measurements.","Be able to round off numbers and round to significant numbers
Apply using estimating calculations and measurements to exam type questions",Be able to round off numbers and round to significant numbers.Apply using estimating calculations and measurements to exam type questions
Public Services Level 2 -Safety responsibilities of employers,Safety responsibilities of employers.zip,Learn more about the different types of responsibilities employers have to maintain the safety of their employees and the public. This course is ideal for intermediate learners. ,"The different types of responsibilities that employers in the public service have
Why it is important that the employers in the public service have responsibilities and how they maintain these
Safe working environment 
Whistleblowing 
","The different types of responsibilities that employers in the public service have.Why it is important that the employers in the public service have responsibilities and how they maintain these.Safe working environment .Whistleblowing ."
Numeracy Level 1 - Selecting the most appropriate graphs and charts,Selecting appropriate graphs and charts.zip,Learn about selecting the most appropriate graphs and charts. This course is ideal for beginners. ,"Recognise why data representation and selection of the appropriate graph and chart is important
Distinguish between the different types of data presentation
Identify what a bar chart, a pie chart and a line graph are
Select the most appropriate graphs and charts to represent your data ","Recognise why data representation and selection of the appropriate graph and chart is important.Distinguish between the different types of data presentation.Identify what a bar chart, a pie chart and a line graph are.Select the most appropriate graphs and charts to represent your data "
Spelling Punctuation and Grammar Level 2 - Sentence Features,Sentence Features.zip,Learn about sentence features. This course is ideal for intermediate learners.,"Statements
Commands
Exclamations
Questions",Statements.Commands.Exclamations.Questions
Literacy Entry Level 3 - Sentences - statement question and command,"Sentences (Statement, Question And Command).zip","Learn about sentences, specifically statement question and command, what a statement, question and command sentence is, how and when to use statement and command sentences and how to write a full and proper question. This course is ideal for intermediate learners. ","Understand what a statement sentence is
Know how and when to use a statement sentence
Understand  what a question sentence is
Know how to write a full and proper question
Understand what a command sentence is
Know how and when to use a command sentence",Understand what a statement sentence is.Know how and when to use a statement sentence.Understand  what a question sentence is.Know how to write a full and proper question.Understand what a command sentence is.Know how and when to use a command sentence
Spelling Punctuation and Grammar Level 2 - Singular and plural nouns,Singular and Plural Nouns.zip,Learn about singular and plural nouns and what they are. This course is ideal for intermediate learners.,"Definitions of 'singular' and 'plural' 
Basic regular plurals
Basic rules for apostophes
Basic rules for irregular plurals
Practical examples of irregular plurals
Spotting mistakes",Definitions of 'singular' and 'plural' .Basic regular plurals.Basic rules for apostophes.Basic rules for irregular plurals.Practical examples of irregular plurals.Spotting mistakes
Public Services Level 3 - Social responses to Government policies,Social responses to Government policies.zip,"Learn about social responses to government policies, a range of social responses to proposed government policies, how government actions can affect the public services and examples of social responses. This course is ideal for intermediate learners.","Outline a range of social responses to proposed government policies
Identify how government actions can affect the public services
Discuss examples of social responses",Outline a range of social responses to proposed government policies.Identify how government actions can affect the public services.Discuss examples of social responses
Maths GCSE Resits - Solving Equations and Using Formulas,Solving Equations and Using Formulas.zip,"Revision of simple/two-step equations, with brackets and x on both sides, substituting values and rearranging formulas.","Solve simple, two-step and equations with brackets and x on both sides
Substitute values in formulas to solve problems
Be able to rearrange formulas to change the subject","Solve simple, two-step and equations with brackets and x on both sides.Substitute values in formulas to solve problems.Be able to rearrange formulas to change the subject"
Numeracy Level 1 - Solving problems with imperial units of measurement (Asked permission to store info on my computer before the session started ? ),Solving problems with imperial units of measurement.zip,Learn about solving problems with imperial units of measurement. This course is ideal for beginners. ,"Follow a problem solving technique for a range of problems
Use the imperial units for length, weight and capacity and their conversations correctly
Analyse the information given in a problem
Solve the problem using the correct units","Follow a problem solving technique for a range of problems.Use the imperial units for length, weight and capacity and their conversations correctly.Analyse the information given in a problem.Solve the problem using the correct units"
Numeracy Level 1 - Solving problems with metric units of measurement,Solving problems with metric units of measurement.zip,Learn about solving problems with metric units of measurement. This course is ideal for beginners. ,"Follow a problem solving technique for a range of problems
Use length, weight, capacity and time metric units and their conversions correctly
Analyse the information given in a problem
Solve the problem using the correct units","Follow a problem solving technique for a range of problems.Use length, weight, capacity and time metric units and their conversions correctly.Analyse the information given in a problem.Solve the problem using the correct units"
"Numeracy Level 1 - Speed, distance and time","Speed, distance and time.zip","Learn about speed, distance and time and understand the relationship between them. This course is ideal for beginners. ","Understand the relationship between speed, distance and time
Perform calculations finding one, when the other two are given
Convert different units of speed","Understand the relationship between speed, distance and time.Perform calculations finding one, when the other two are given.Convert different units of speed"
Literacy Entry Level 3 - Spelling - silent letters,Spelling (Silent Letters).zip,"Learn about spelling, specifically silent letters, what a silent letter is, where they are often found and why they are used. This course is ideal for intermediate learners. ","Understand what a silent letter is
Know where silent letters are often found
Understand why silent letters are used",Understand what a silent letter is.Know where silent letters are often found.Understand why silent letters are used
Literacy Entry Level 3 - Spelling – vowels and consonants ,Spelling (vowels and consonants).zip,"Learn about spelling, specifically vowels and consonants, what they are, how long and short vowels work and the difference between a hard and soft consonant. This course is ideal for intermediate learners. ","Know what a vowel is
Know what a consonant is
Understand how long and short vowels work
Know the difference between a hard and soft consonant","Know what a vowel is.Know what a consonant is.Understand how long and short vowels work.Know the difference between a hard and soft consonant"
"English Level 2 - Spelling
",Spelling.zip,Learn about why spelling is important and information on spelling. This course is ideal for intermediate learners. ,"Why spelling is important
Commonly misspelled words
Spelling strategy (look, cover, say, write and check)
Homophones
Silent letters","Why spelling is important.Commonly misspelled words.Spelling strategy (look, cover, say, write and check).Homophones.Silent letters"
Maths GCSE Resits - Statistics Basics,Statistics Basics.zip,"Revision of mean, median, mode, range, pictograms, bar charts, scatter graphs, pie charts and questionnaires.","Solve exam questions using mean, median, mode and range
Be able to interpret and draw pictograms, bar charts, scatter graphs and pie charts
Express the effectiveness of questionnaire interpretation","Solve exam questions using mean, median, mode and range.Be able to interpret and draw pictograms, bar charts, scatter graphs and pie charts.Express the effectiveness of questionnaire interpretation"
Literacy Entry Level 3 - Strategies for reading,Strategies for Reading.zip,"Learn about strategies for reading, what is meant by skimming and scanning, how to read something in detail and how to find what you need from a text. This course is ideal for intermediate learners. ","Know what is meant by skimming
Know what is meant by scanning
Understand how to read something in detail
Know how to find what you need from a text","Know what is meant by skimming.Know what is meant by scanning.Understand how to read something in detail.Know how to find what you need from a text"
Spelling Punctuation and Grammar Level 2 - Subordinate connectives,Subordinate Connectives.zip,Learn about subordinate connectives and what they are. This course is ideal for intermediate learners.,"Definition of 'subordinating' and 'connectives'
Definition of 'conjunctions'
Independent and dependent clauses
Introduction to common connectives and conjunctions
Working with different connectives and conjunctions
Selecting the best connectives and conjunctions",Definition of 'subordinating' and 'connectives'.Definition of 'conjunctions'.Independent and dependent clauses.Introduction to common connectives and conjunctions.Working with different connectives and conjunctions.Selecting the best connectives and conjunctions
Maths Level 1 - Subtraction,Subtraction.zip,"Learn about subtraction, specifically subtracting whole numbers using a range of strategies. This course is ideal for beginners. ",Subtract whole numbers using a range of strategies,Subtract whole numbers using a range of strategies
Numeracy Entry Level 3 - Subtraction,Subtraction.zip,"Learn about subtraction, subracting three digit numbers and subtracting using a range of methods. This course is ideal for intermediate learners. ","Subtract three-digit numbers
Subtract using a range of methods",Subtract three-digit numbers.Subtract using a range of methods
Spelling Punctuation and Grammar Level 2 - Suffixes,Suffixes.zip,Learn about suffices and what they are. This course is ideal for intermediate learners.,"Definition of prefix and suffix
Examples of suffixes
Understanding of suffixes",Definition of prefix and suffix.Examples of suffixes.Understanding of suffixes
English Level 2 - Summarising,Summarising.zip,Learn about summarising and what it is. This course is ideal for intermediate learners. ,"What summarising is
Writing a summary
Checklist 
Example summary","What summarising is.Writing a summary.Checklist .Example summary"
Spelling Punctuation and Grammar Level 2 - Synonyms,Synonyms and Antonyms.zip,Lear about synonyms and what they are. This course is ideal for intermediate learners.,"Definition of synonyms and antonyms
Working with synonyms
Working with antonyms",Definition of synonyms and antonyms.Working with synonyms.Working with antonyms
Literacy Entry Level 3 - Synonyms and antonyms,Synonyms and Antonyms.zip,"Learn about synonyms and antonyms, what they are, what is meant by vocabulary and how synonyms and antonyms can improve your writing. This course is ideal for intermediate learners. ","Understand what a synonym is
Understand what an antonym is
Know what is meant by vocabulary
Understand how synonyms and antonyms can improve your writing",Understand what a synonym is.Understand what an antonym is.Know what is meant by vocabulary.Understand how synonyms and antonyms can improve your writing
Maths Level 1 - Temperature,Temperature.zip,"Learn about temperature, specifically solving problems requiring calculation with temperature. This course is ideal for beginners. ",Solve problems requiring calculation with temperature,Solve problems requiring calculation with temperature
Numeracy Entry Level 3 - Temperature,Temperature.zip,"Learn about temperature, how to identify, read and compare thermometers used for different purposes and with different scales. This course is ideal for intermediate learners. ","Identify, read and compare thermometers used for different purposes and with different scales
Read scales to the nearest labelled and unlabelled division
Read positive and negative temperatures
Solve simple problems relating to temperature","Identify, read and compare thermometers used for different purposes and with different scales.Read scales to the nearest labelled and unlabelled division.Read positive and negative temperatures.Solve simple problems relating to temperature"
Literacy Entry Level 3 - Tense,Tense.zip,"Learn about tense, what is meant by the past tense, present tense, future tense and how simple, continuous and perfect tenses work. This course is ideal for intermediate learners. ","Know what is meant by the past tense
Know what is meant by the present tense
Know what is meant by the future tense
Understand how simple, continuous and perfect tenses work","Know what is meant by the past tense.Know what is meant by the present tense.Know what is meant by the future tense.Understand how simple, continuous and perfect tenses work"
Public Services Level 2 -The Cost of equal opportunities,The cost of equal opportunities.zip,Learn about the cost of implementing or not implementing equal opportunities measures. This course is ideal for intermediate learners. ,"The cost of implementing equal opportunities
The cost of not implementing equal opportunities
Equal opportunity measures",The cost of implementing equal opportunities.The cost of not implementing equal opportunities.Equal opportunity measures
Public Services Level 2 -The Cost of Public Services,The Cost of Public Services.zip,Learn how much public services cost and how charities contribute to them. This course is ideal for intermediate learners. ,"How much public services cost the government
The top three spending categories
How charities contribute to public services",How much public services cost the government.The top three spending categories.How charities contribute to public services
English Level 2 - The Essay Writing Process,The Essay Writing Process.zip,Learn about the essay writing process and how to successfully and effectively use it. This course is ideal for intermediate learners. ,"The process
Analysing the question
Generating ideas
Research
Planning 
Drafting
Editing ",The process.Analysing the question.Generating ideas.Research.Planning .Drafting.Editing 
The Hidden Job Market,The Hidden Job Market.zip,Learn about the hidden job market and how to make it work for your in your job search. This course is suitable for everyone.,"Understand what the hidden job market is
Know how to access the hidden job market
Know how the hidden job market can work for you",Understand what the hidden job market is.Know how to access the hidden job market.Know how the hidden job market can work for you
Public Services Level 2 -The Impact of change in society,The Impact of change in society.zip,Learn more about the different changes in society and how these have impacted public services. This course is ideal for intermediate learners. ,"Different changes that have happened in society
How these changes in society have impacted on the Public Services
Changes in demographics
Ageing population
Immigration changes ",Different changes that have happened in society.How these changes in society have impacted on the Public Services.Changes in demographics.Ageing population.Immigration changes 
Public Services Level 2 - Impact of the Growth of Information and Communications Technology,Impact of the Growth of Information and Communications Technology.zip,"Learn more about growing information communication technology and the impact it has in society.
This course is ideal for intermediate learners. 
","The internet
Accessing information
Social media
How do public services use social media?
What are the benefits?",The internet.Accessing information.Social media.How do public services use social media?.What are the benefits?
Public Services Level 3 - The role of Government Departments in creating policy,The role of Government Departments in creating policy.zip,Learn about the role of government departments in creating policy. This course is ideal for intermediate learners.,"Identify the difference between the Prime Minister, Ministers and Government departments
Explain the role of a variety of differnt Government departments","Identify the difference between the Prime Minister, Ministers and Government departments.Explain the role of a variety of differnt Government departments"
Maths Level 1 - Time,Time.zip,"Learn about time, specifically converting between 12 and 24 hour times, converting between hours and minutes and problems requiring calculation with time. This course is ideal for beginners. ","Convert between 12 and 24 hour times
Convert between hours and minutes
Solve problems requiring calculation with time",Convert between 12 and 24 hour times.Convert between hours and minutes.Solve problems requiring calculation with time
